Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
0.5049415064154527,0.34837540699138664,Low,High,No,-0.01979557715729433,-0.14379992882668732,Low,Yes,-1.213934457288018,Low,Medium,Public,Positive,0.03141133078780467,No,High School,Near,Male,-0.06057824550990011
-0.16282241129609587,-1.3837360532878724,Low,Medium,No,0.6613991013752177,-1.1161102955380136,Low,Yes,0.41145108517868284,Medium,Medium,Public,Negative,1.0011994733813825,No,College,Moderate,Female,-1.6029307236752266
0.6718824858433398,1.5608534291868679,Medium,Medium,Yes,-0.01979557715729433,1.1063133998021608,Medium,Yes,0.41145108517868284,Medium,Medium,Public,Neutral,1.0011994733813825,No,Postgraduate,Near,Male,1.7388329790163142
1.5065873829827754,0.7814032720612014,Low,Medium,Yes,0.6613991013752177,1.5924685831578238,Medium,Yes,-0.40124168605466753,Medium,Medium,Public,Negative,1.0011994733813825,No,High School,Moderate,Male,0.9676567399336509
-0.16282241129609587,1.0412199911030902,Medium,Medium,Yes,-0.7009902556898064,-0.6994058526617309,Medium,Yes,1.2241438564120333,Medium,High,Public,Neutral,1.0011994733813825,No,College,Near,Female,0.7105979935727631
-0.16282241129609587,0.6947976990472384,Medium,Medium,Yes,0.6613991013752177,0.9674119188433998,Medium,Yes,1.2241438564120333,Medium,Medium,Public,Positive,0.03141133078780467,No,Postgraduate,Near,Male,0.9676567399336509
1.5065873829827754,0.34837540699138664,Medium,Low,Yes,-0.01979557715729433,-0.4910536312235896,Low,Yes,-0.40124168605466753,Low,Medium,Private,Neutral,-0.938376811805773,No,High School,Moderate,Male,-0.06057824550990011
0.8388234652712269,-0.1712580310923911,Low,High,Yes,-0.7009902556898064,-1.7411669598524377,Medium,Yes,-0.40124168605466753,High,High,Public,Negative,-0.938376811805773,No,High School,Far,Male,-0.31763699187078787
-0.49670437015187013,1.2144311371310161,Medium,High,No,-0.7009902556898064,0.3423552545289758,High,Yes,-1.213934457288018,Medium,Low,Private,Neutral,-1.9081649543993509,No,College,Near,Male,0.4535392472118754
0.5049415064154527,1.5608534291868679,Medium,Medium,Yes,0.6613991013752177,-0.2827014097854482,Medium,Yes,-1.213934457288018,High,High,Public,Positive,1.9709876159749602,No,High School,Moderate,Male,1.2247154862945386
